13	398600441500000	6378136.3																									
1	0	-29442.0 0	0	0																							
1	1	-1501.0	4797.1	0	0																						
2	0	-2445.1	0	0	0																						
2	1	3012.9	-2845.6	0	0																						
2	2	1676.7	-641.9	0	0																						
3	0	1350.7	0	0	0																						
3	1	-2352.3	-115.3	0	0																						
3	2	1225.6	244.9	0	0																						
3	3	582.0	-538.4	0	0																						
4	0	907.6	0	0	0																						
4	1	813.7	283.3	0	0																						
4	2	120.4	-188.7	0	0																						
4	3	-334.9	180.9	0	0																						
4	4	70.4	-329.5	0	0																						
5	0	-232.6	0	0	0																						
5	1	360.1	47.3	0	0																						
5	2	192.4	197.0	0	0																						
5	3	-140.9	-119.3	0	0																						
5	4	-157.5	16.0	0	0																						
5	5	42373.0	100.2	0	0																						
6	0	70	0	0	0																						
6	1	67.7	-20.8	0	0																						
6	2	72.7	33.2	0	0																						
6	3	-129.9	58.9	0	0																						
6	4	-28.9	-66.7	0	0																						
6	5	42413.0	42436.0	0	0																						
6	6	-70.9	62.6	0	0																						
7	0	81.6	0	0	0																						
7	1	-76.1	-54.1	0	0																						
7	2	-6.8	-19.5	0	0																						
7	3	51.8	42556.0	0	0																						
7	4	15.0	42484.0	0	0																						
7	5	42469.0	42463.0	0	0																						
7	6	-2.8	-27.4	0	0																						
7	7	42588.0	-2.2	0	0																						
8	0	42424.0	0	0	0																						
8	1	42590	42379.0	0	0																						
8	2	-16.9	-18.3	0	0																						
8	3	-3.2	42442.0	0	0																						
8	4	-20.6	-14.6	0	0																						
8	5	42473.0	42416.0	0	0																						
8	6	42562.0	42556.0	0	0																						
8	7	-15.9	-9.1	0	0																						
8	8	-2.0	42371.0	0	0																						
9	0	42465.0	0	0	0																						
9	1	42590	-21.6	0	0																						
9	2	42372.0	42592.0	0	0																						
9	3	-3.3	42593.0	0	0																						
9	4	0.7	-6.8	0	0																						
9	5	-13.3	-6.9	0	0																						
9	6	-0.1	42589.0	0	0																						
9	7	42559.0	1.0	0	0																						
9	8	-9.1	-4.0	0	0																						
9	9	-10.5	42468.0	0	0																						
10	0	-1.9	0	0	0																						
10	1	-6.3	42403.0	0	0																						
10	2	0.1	-0.4	0	0																						
10	3	0.5	42525.0	0	0																						
10	4	-0.5	42464.0	0	0																						
10	5	42583.0	-7.9	0	0																						
10	6	-0.7	-0.6	0	0																						
10	7	42371.0	-4.2	0	0																						
10	8	42462.0	-2.8	0	0																						
10	9	-1.8	-1.2	0	0																						
10	10	-3.6	-8.7	0	0																						
11	0	42372.0	0	0	0																						
11	1	-1.5	-0.1	0	0																						
11	2	-2.3	2.0	0	0																						
11	3	2.0	-0.7	0	0																						
11	4	-0.8	-1.1	0	0																						
11	5	0.6	0.8	0	0																						
11	6	-0.7	-0.2	0	0																						
11	7	0.2	-2.2	0	0																						
11	8	42552.0	-1.4	0	0																						
11	9	-0.2	-2.5	0	0																						
11	10	0.4	-2.0	0	0																						
11	11	42493.0	-2.4	0	0																						
12	0	-1.9	0	0	0																						
12	1	-0.2	-1.1	0	0																						
12	2	0.4	0.4	0	0																						
12	3	42401.0	42614.0	0	0																						
12	4	-0.8	-2.2	0	0																						
12	5	0.9	0.3	0	0																						
12	6	0.1	0.7	0	0																						
12	7	0.5	-0.1	0	0																						
12	8	-0.3	0.3	0	0																						
12	9	-0.4	0.2	0	0																						
12	10	0.2	-0.9	0	0																						
12	11	-0.9	-0.1	0	0																						
12	12	0	0.7	0	0																						
13	0	0	0	0	0																						
13	1	-0.9	-0.9	0	0																						
13	2	0.4	0.4	0	0																						
13	3	0.5	42522.0	0	0																						
13	4	-0.5	-0.5	0	0																						
13	5	1.0	-1.2	0	0																						
13	6	-0.2	-0.1	0	0																						
13	7	0.8	0.4	0	0																						
13	8	-0.1	-0.1	0	0																						
13	9	0.3	0.4	0	0																						
13	10	0.1	0.5	0	0																						
13	11	0.5	-0.3	0	0																						
13	12	-0.4	-0.4	0	0																						
13	13	-0.3	-0.8	0	0																						
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
